OrderID,OrderDate,ProductID,CustomerID,RegionID,Quantity,SalesAmount,CostAmount,DiscountPct
10224,2025-01-01,P037,C0018,R03,6,145800.0,105211.97,0.0
10315,2025-01-01,P043,C0034,R02,3,42322.5,30045.61,0.05
10323,2025-01-01,P018,C0194,R01,1,11542.5,8636.67,0.05
10620,2025-01-01,P030,C0081,R02,1,4860.0,2788.62,0.1
10742,2025-01-01,P012,C0392,R03,1,40050.0,27485.64,0.0
11669,2025-01-01,P006,C0133,R04,1,138510.0,108373.09,0.05
11703,2025-01-01,P006,C0364,R01,1,138510.0,108017.23,0.05
12344,2025-01-01,P043,C0259,R04,3,44550.0,30444.12,0.0
13097,2025-01-01,P019,C0463,R03,3,106650.0,77654.98,0.0
14120,2025-01-01,P006,C0029,R04,4,524880.0,414465.5,0.1
14513,2025-01-01,P024,C0430,R01,2,17595.0,10984.31,0.15
14739,2025-01-01,P040,C0149,R02,1,19350.0,14959.25,0.0
14774,2025-01-01,P015,C0189,R04,4,126000.0,93393.96,0.0
14882,2025-01-01,P050,C0082,R04,1,16200.0,11351.03,0.0
10274,2025-01-02,P009,C0167,R02,1,61560.0,47023.83,0.1
10728,2025-01-02,P004,C0126,R02,5,457425.0,347773.65,0.05
10803,2025-01-02,P037,C0444,R04,2,43740.0,31410.46,0.1
10806,2025-01-02,P038,C0288,R02,1,22230.0,16262.1,0.05
10958,2025-01-02,P048,C0021,R03,3,51300.0,36282.14,0.05
12163,2025-01-02,P028,C0026,R02,4,34200.0,19676.08,0.05
12246,2025-01-02,P022,C0270,R03,2,9000.0,4992.72,0.0
12653,2025-01-02,P033,C0279,R01,1,7695.0,5598.96,0.05
12681,2025-01-02,P027,C0064,R01,1,4950.0,2869.79,0.0
13522,2025-01-02,P013,C0408,R01,1,30352.5,21005.72,0.05
10117,2025-01-03,P017,C0138,R04,2,44550.0,32391.68,0.1
11370,2025-01-03,P044,C0152,R03,6,51300.0,35034.52,0.0
11899,2025-01-03,P010,C0357,R02,3,167400.0,130775.85,0.0
13261,2025-01-03,P048,C0107,R01,3,54000.0,34369.4,0.0
13276,2025-01-03,P043,C0220,R03,1,14107.5,10035.42,0.05
14083,2025-01-03,P005,C0138,R04,2,191700.0,148414.92,0.0
14237,2025-01-03,P025,C0061,R02,1,8550.0,4633.12,0.0
14459,2025-01-03,P019,C0451,R01,1,31995.0,21702.8,0.1
14598,2025-01-03,P008,C0362,R04,2,228420.0,183696.07,0.1
14653,2025-01-03,P037,C0203,R04,3,69255.0,51131.23,0.05
11292,2025-01-04,P043,C0218,R03,2,29700.0,20277.3,0.0
14499,2025-01-04,P013,C0370,R04,4,127800.0,92430.95,0.0
14826,2025-01-04,P034,C0362,R04,3,48600.0,34589.98,0.1
14829,2025-01-04,P004,C0034,R02,4,385200.0,299386.63,0.0
14969,2025-01-04,P007,C0187,R02,3,148230.0,111056.86,0.1
10026,2025-01-05,P034,C0378,R02,2,34200.0,26488.99,0.05
10387,2025-01-05,P015,C0128,R01,1,28350.0,21459.77,0.1
10456,2025-01-05,P023,C0420,R01,3,8100.0,4681.28,0.0
11923,2025-01-05,P045,C0166,R04,2,7200.0,4855.68,0.0
12702,2025-01-05,P009,C0118,R01,2,136800.0,103477.83,0.0
12961,2025-01-05,P025,C0205,R01,2,15390.0,8868.88,0.1
14831,2025-01-05,P016,C0457,R04,1,30375.0,22129.56,0.1
10633,2025-01-06,P035,C0073,R02,1,22275.0,16342.48,0.1
10680,2025-01-06,P019,C0394,R04,3,95985.0,70332.17,0.1
10684,2025-01-06,P017,C0053,R01,1,23512.5,16985.46,0.05
11692,2025-01-06,P048,C0282,R01,1,17100.0,11284.03,0.05
13860,2025-01-06,P006,C0401,R03,3,393660.0,292059.39,0.1
14004,2025-01-06,P002,C0447,R02,2,258210.0,183828.35,0.05
14179,2025-01-06,P008,C0246,R02,2,241110.0,184412.53,0.05
14220,2025-01-06,P028,C0399,R02,2,17100.0,9501.44,0.05
10084,2025-01-07,P022,C0245,R02,2,8100.0,4661.99,0.1
10712,2025-01-07,P039,C0426,R02,3,32805.0,24197.95,0.1
10778,2025-01-07,P012,C0379,R02,3,114142.5,85718.62,0.05
11539,2025-01-07,P021,C0298,R04,3,16672.5,9134.24,0.05
11578,2025-01-07,P022,C0363,R02,3,13500.0,7449.1,0.0
12522,2025-01-07,P008,C0091,R01,3,342630.0,245416.8,0.1
13708,2025-01-07,P048,C0440,R04,4,68400.0,47953.41,0.05
13745,2025-01-07,P042,C0475,R02,6,89775.0,62293.84,0.05
13913,2025-01-07,P018,C0119,R02,2,24300.0,16492.3,0.0
14209,2025-01-07,P014,C0014,R04,4,111690.0,74364.97,0.15
14914,2025-01-07,P037,C0384,R02,2,43740.0,32791.41,0.1
12109,2025-01-08,P007,C0469,R01,5,260775.0,194999.85,0.05
12159,2025-01-08,P001,C0087,R01,6,332100.0,252803.27,0.0
12494,2025-01-08,P039,C0247,R01,1,11542.5,8853.61,0.05
